nav | Desktop White | PROPERTIES SERVICES ABOUT Contact us | 0 | 0 | 1440 | 84 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 0px | 15px 8px | 0px none rgb(0, 0, 0) | none | 1 | 24px | flex | none | none | fill | hidden | relative
div | Desktop | PROPERTIES SERVICES ABOUT Contact us | 60 | 15 | 1320 | 54 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 4px | 0px 32px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
a | Black Logo |  | 92 | 27 | 102 | 30 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 4px | flex | none | none | fill | clip | relative
svg |  |  | 92 | 27 | 102 | 30 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | block | none | none | fill | hidden | static
div | Container | PROPERTIES SERVICES ABOUT Contact us | 940 | 15 | 408 | 54 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 8px | 5px 0px | 0px none rgb(0, 0, 0) | none | 1 | 25px | flex | none | none | fill | visible | relative
div | Links | PROPERTIES SERVICES ABOUT | 940 | 28 | 245 | 27 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 2px 0px | 0px none rgb(0, 0, 0) | none | 1 | 25px | flex | none | none | fill | visible | relative
a | Default | PROPERTIES | 940 | 30 | 81 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | PROPERTIES | 940 | 30 | 81 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | PROPERTIES | 940 | 30 | 81 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
a | Default | SERVICES | 1046 | 30 | 65 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | SERVICES | 1046 | 30 | 65 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | SERVICES | 1046 | 30 | 65 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
a | Default | ABOUT | 1136 | 30 | 49 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | ABOUT | 1136 | 30 | 49 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | ABOUT | 1136 | 30 | 49 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
a | Main/Black | Contact us | 1210 | 20 | 138 | 44 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(8, 11, 15) | 12px | 8px 8px 8px 16px | 0px none rgb(0, 0, 238) | none | 1 | 12px | flex | rgba(0, 0, 0, 0.2) 0px 5px 15px 0px | none | fill | visible | relative
div | Contact us | Contact us | 1226 | 31 | 74 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Contact us | 1226 | 31 | 74 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(255, 255, 255) | none | 1 | normal | block | none | none | fill | visible | static
div | Arrow |  | 1312 | 28 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(255, 255, 255) | 8px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 4px | flex | none | none | fill | hidden | relative
svg |  |  | 1284 | 28 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 0 | normal | block | none | none | fill | hidden | absolute
svg |  |  | 1312 | 28 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | block | none | none | fill | hidden | relative
main | Hero Section | PROPERTY LISTINGS Discover homes that fit your lif | 60 | 0 | 1320 | 422 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 180px 0px 80px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Hero Content Container | PROPERTY LISTINGS Discover homes that fit your lif | 60 | 180 | 1320 | 162 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px 32px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Text Content Wrapper | PROPERTY LISTINGS Discover homes that fit your lif | 92 | 180 | 1256 | 162 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
div | Heading Wrapper | PROPERTY LISTINGS Discover homes that fit your lif | 92 | 180 | 600 | 162 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 16px | flex | none | none | fill | visible | relative
div | Section Tag | PROPERTY LISTINGS | 92 | 180 | 153 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
div | Dark | PROPERTY LISTINGS | 92 | 180 | 153 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7px | flex | none | none | fill | visible | relative
div | Icon Wrapper |  | 92 | 185 | 13 | 13 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 10px | 3px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Dot |  | 95 | 188 | 7 | 7 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(75, 91, 99) | 10px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | clip | relative
p |  | PROPERTY LISTINGS | 112 | 180 | 133 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
div | Lifestyle Text | Discover homes that fit your lifestyle | 92 | 218 | 600 | 123 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h1 |  | Discover homes that fit your lifestyle | 92 | 218 | 600 | 123 | Switzer | 56px | 600 | 61.6px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Introduction Text | Explore a range of properties built for comfort, l | 948 | 284 | 400 | 58 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Explore a range of properties built for comfort, l | 948 | 284 | 400 | 58 | Switzer | 18px | 500 | 28.8px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
